Genetic Sudoku Experiment
Experiment Time: 26/06/2016 12:30:42
Expirement Parameters:,
Orginal Empty Cells:,48,
Population Size:,2,
Max Generations:,50,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
Percent of good indviduals from population:,0.4,
,
Primitive Set:,
Plus,Minus,Multi,div,Mod,Maximum,Minimum,
Terminal Set:,
countEmptyCellInRow,countEmptyCellInCol,countEmptyCellInSquare,NumOfOptionsInCell,numOfOptionsToAppearInBoard,countEmptyCellsInRowsContainsNum,countEmptyCellsInColsContainsNum,countEmptyCellsInSquareContainsNum,countEmptyCellsInRows_ThatNotContainsNum,countEmptyCellsInCols_ThatNotContainsNum,countEmptyCellsInSquare_ThatNotContainsNum,
,
,
Generation,Worst Individual Fitness,Best Individual Fitness,Average Fitness,Best Individual Tree - Prefix,Best Individual Tree - Infix,
10,7.0,7.0,7.0,Minus( Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) )  Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) ) ),((((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell )))) - (((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell ))))),
11,7.0,7.0,7.0,Minus( Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) )  Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) ) ),((((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell )))) - (((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell ))))),
12,7.0,7.0,7.0,Minus( Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) )  Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) ) ),((((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell )))) - (((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell ))))),
13,7.0,7.0,7.0,Minus( Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) )  Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Mod( Multi( countEmptyCellsInColsContainsNum  countEmptyCellsInColsContainsNum )  Plus( countEmptyCellInSquare  countEmptyCellInCol ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) ) ),((((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell )))) - (((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInColsContainsNum  *  countEmptyCellsInColsContainsNum ) % ( countEmptyCellInSquare  +  countEmptyCellInCol ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell ))))),
14,7.0,7.0,7.0,Minus( Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) )  Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Mod( Multi( countEmptyCellsInColsContainsNum  countEmptyCellsInColsContainsNum )  Plus( countEmptyCellInSquare  countEmptyCellInCol ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) ) ),((((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell )))) - (((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInColsContainsNum  *  countEmptyCellsInColsContainsNum ) % ( countEmptyCellInSquare  +  countEmptyCellInCol ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell ))))),
15,7.0,7.0,7.0,Minus( Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) )  Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) ) ),((((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell )))) - (((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell ))))),
16,7.0,7.0,7.0,Minus( Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) )  Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) ) ),((((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell )))) - (((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell ))))),
17,7.0,5.0,6.0,Minus( div( Multi( Minimum( Minus( countEmptyCellInCol  countEmptyCellsInSquare_ThatNotContainsNum )  Minimum( countEmptyCellsInRowsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Mod( div( countEmptyCellsInColsContainsNum  countEmptyCellInRow )  Minus( NumOfOptionsInCell  countEmptyCellsInRowsContainsNum ) ) )  Plus( div( Minimum( countEmptyCellsInCols_ThatNotContainsNum  numOfOptionsToAppearInBoard )  Minimum( countEmptyCellsInCols_ThatNotContainsNum  NumOfOptionsInCell ) )  div( Multi( countEmptyCellsInSquareContainsNum  countEmptyCellInSquare )  div( numOfOptionsToAppearInBoard  countEmptyCellsInRowsContainsNum ) ) ) )  Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) ) ),((((( countEmptyCellInCol  -  countEmptyCellsInSquare_ThatNotContainsNum ) Min ( countEmptyCellsInRowsContainsNum  Min  countEmptyCellsInRows_ThatNotContainsNum )) * (( countEmptyCellsInColsContainsNum  /  countEmptyCellInRow ) % ( NumOfOptionsInCell  -  countEmptyCellsInRowsContainsNum ))) / ((( countEmptyCellsInCols_ThatNotContainsNum  Min  numOfOptionsToAppearInBoard ) / ( countEmptyCellsInCols_ThatNotContainsNum  Min  NumOfOptionsInCell )) + (( countEmptyCellsInSquareContainsNum  *  countEmptyCellInSquare ) / ( numOfOptionsToAppearInBoard  /  countEmptyCellsInRowsContainsNum )))) - (((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell ))))),
18,7.0,5.0,6.0,Minus( div( Multi( Minimum( Minus( countEmptyCellInCol  countEmptyCellsInSquare_ThatNotContainsNum )  Minimum( countEmptyCellsInRowsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Mod( div( countEmptyCellsInColsContainsNum  countEmptyCellInRow )  Minus( NumOfOptionsInCell  countEmptyCellsInRowsContainsNum ) ) )  Plus( div( Minimum( countEmptyCellsInCols_ThatNotContainsNum  numOfOptionsToAppearInBoard )  Minimum( countEmptyCellsInCols_ThatNotContainsNum  NumOfOptionsInCell ) )  div( Multi( countEmptyCellsInSquareContainsNum  countEmptyCellInSquare )  div( numOfOptionsToAppearInBoard  countEmptyCellsInRowsContainsNum ) ) ) )  Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) ) ),((((( countEmptyCellInCol  -  countEmptyCellsInSquare_ThatNotContainsNum ) Min ( countEmptyCellsInRowsContainsNum  Min  countEmptyCellsInRows_ThatNotContainsNum )) * (( countEmptyCellsInColsContainsNum  /  countEmptyCellInRow ) % ( NumOfOptionsInCell  -  countEmptyCellsInRowsContainsNum ))) / ((( countEmptyCellsInCols_ThatNotContainsNum  Min  numOfOptionsToAppearInBoard ) / ( countEmptyCellsInCols_ThatNotContainsNum  Min  NumOfOptionsInCell )) + (( countEmptyCellsInSquareContainsNum  *  countEmptyCellInSquare ) / ( numOfOptionsToAppearInBoard  /  countEmptyCellsInRowsContainsNum )))) - (((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell ))))),
19,13.0,7.0,10.0,Minimum( Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Multi( div( countEmptyCellsInRowsContainsNum  countEmptyCellsInSquare_ThatNotContainsNum )  Minus( countEmptyCellsInColsContainsNum  countEmptyCellInCol ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) )  Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) ) ),((((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInRowsContainsNum  /  countEmptyCellsInSquare_ThatNotContainsNum ) * ( countEmptyCellsInColsContainsNum  -  countEmptyCellInCol )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell )))) Min (((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell ))))),
